Elements, Bond Energy
"H1H", 432
"H1F", 565
"H1Cl", 427
"H1Br", 363
"H1I", 295
"C1H", 413
"C1C", 347
"C1N", 305
"C1O", 358
"C1F", 485
"C1Cl", 339
"C1Br", 276
"C1I", 240
"C1S", 259
"S1O", 364
"S2O", 535
"N1H", 391
"N1N", 160
"N1F", 272
"N1Cl", 200
"N1Br", 243
"N1O", 201
"O1H", 467
"O1O", 146
"O1F", 190
"O1Cl", 203
"O1I", 234
"F1F", 154
"F1Cl", 253
"F1Br", 237
"Cl1Cl", 239
"Cl1Br", 218
"Br1Br", 193
"I1I", 149
"I1Cl", 208
"I1Br", 175
"S1H", 347
"S1F", 327
"S1Cl", 253
"S1Br", 218
"S1S", 266
"Si1Si", 340
"Si1H", 393
"Si1C", 360
"Si1O", 452
"C2C", 614
"C3C", 839
"O2O", 495
"C2O", 745
"C3O", 1072
"N2O", 607
"N2N", 418
"N3N", 941
"C3N", 891
"C2N", 615