acetate,C2H3O2 1
ammonium,NH4 1
aresenate,AsO4 3
aresenite,AsO3 3
azide,N3 1
benzoate,C7H5O2 1
borate,BO3 3
bromate,BrO3 1
bromite,BrO2 1
carbonate,CO3 2
chlorate,ClO3 1
chromate,CrO4 2
cyanide,CN 1
dichromate,Cr2O7 2
dihydrogen phosphate,H2PO4 1
dihydrogen phosphite,H2PO3 1
hydrogen carbonate,HCO3 1
bicarbonate,HCO3 1
hydrogen phosphate,HPO4 2
hydrogen phosphite,HPO3 2
hydrogen sulfate,HSO4 1
bisulfate,HSO4 1
hydrogen sulfide,HS 1
hydrogen sulfite,HSO3 1
hydroxide,OH 1
hypochlorite,ClO 1
hypobromite,BrO 1
hypoiodite,IO 1
manganate,MnO4 2
nitrate,NO3 1
nitrite,NO2 1
oxalate,C2O4 2
perchlorate,ClO4 1
perbromate,BrO4 1
periodate,IO4 1
permanganate,MnO4 1
peroxide,O2 2
phosphate,PO4 3
phosphite,PO3 3
silicate,SiO3 2
sulfate,SO4 2
sulfite,SO3 2
tartrate,C4H4O6 2
thiocyanate,SCN 1
thiosulfate,S2O3 2
hexafluorosilicate,SiF6 2